,DEPARTAMENTO,MUNICIPIO,CODIGO DANE,Año,Terrorismo,Delitos Sexuales,Homicidios,Amenazas,Extorsion,Secuestro,Poblacion,Total,Indice100k
479,ANTIOQUIA,FRONTINO,5284,2017,,20.0,5.0,16.0,,,20820,41,196.926032660903
480,ANTIOQUIA,FRONTINO,5284,2018,,21.0,4.0,7.0,2.0,,20739,34,163.94233087419838
481,ANTIOQUIA,FRONTINO,5284,2019,,15.0,12.0,13.0,2.0,,20657,42,203.32090816672314
482,ANTIOQUIA,FRONTINO,5284,2020,,4.0,9.0,18.0,3.0,,20700,34,164.25120772946858
483,ANTIOQUIA,FRONTINO,5284,2021,,2.0,12.0,7.0,,,21021,21,99.9000999000999
484,ANTIOQUIA,GIRALDO,5306,2012,,,1.0,,,,5273,1,18.964536317087045
485,ANTIOQUIA,GIRALDO,5306,2013,2.0,,2.0,,,,5305,4,75.40056550424129
486,ANTIOQUIA,GIRALDO,5306,2014,,,7.0,4.0,,,5326,11,206.53398422831393
487,ANTIOQUIA,GIRALDO,5306,2015,,2.0,3.0,2.0,,,5349,7,130.86558235184145
488,ANTIOQUIA,GIRALDO,5306,2016,1.0,6.0,2.0,2.0,,,5396,11,203.8547071905115
489,ANTIOQUIA,GIRALDO,5306,2017,,3.0,5.0,,,,5460,8,146.5201465201465
490,ANTIOQUIA,GIRALDO,5306,2018,,2.0,3.0,3.0,1.0,,5544,9,162.33766233766235
491,ANTIOQUIA,GIRALDO,5306,2019,,4.0,2.0,3.0,2.0,,5652,11,194.621372965322
492,ANTIOQUIA,GIRALDO,5306,2020,,2.0,1.0,,2.0,,5750,5,86.95652173913044
493,ANTIOQUIA,GIRALDO,5306,2021,,7.0,5.0,,1.0,,5839,13,222.64086316150025
494,ANTIOQUIA,GIRARDOTA,5308,2012,1.0,2.0,25.0,,2.0,,46481,30,64.54250123706461
495,ANTIOQUIA,GIRARDOTA,5308,2013,,,36.0,,9.0,,47233,45,95.27237312895646
496,ANTIOQUIA,GIRARDOTA,5308,2014,,2.0,18.0,8.0,,,47977,28,58.3612981220168
497,ANTIOQUIA,GIRARDOTA,5308,2015,,23.0,21.0,17.0,5.0,,48759,66,135.35962591521564
498,ANTIOQUIA,GIRARDOTA,5308,2016,,23.0,9.0,16.0,4.0,,49613,52,104.8112389897809
499,ANTIOQUIA,GIRARDOTA,5308,2017,,15.0,5.0,3.0,8.0,,50456,31,61.439670207705724
500,ANTIOQUIA,GIRARDOTA,5308,2018,,23.0,13.0,14.0,4.0,,51662,54,104.52557005148851
501,ANTIOQUIA,GIRARDOTA,5308,2019,,37.0,12.0,6.0,15.0,,53162,70,131.67299951092886
502,ANTIOQUIA,GIRARDOTA,5308,2020,,29.0,11.0,15.0,12.0,,54439,67,123.07353184298022
503,ANTIOQUIA,GIRARDOTA,5308,2021,,42.0,9.0,22.0,9.0,,55294,82,148.2981878684848
504,ANTIOQUIA,GÓMEZ PLATA,5310,2012,,,5.0,,,,9631,5,51.91568892119198
505,ANTIOQUIA,GÓMEZ PLATA,5310,2013,,,4.0,,1.0,,9606,5,52.05080158234437
506,ANTIOQUIA,GÓMEZ PLATA,5310,2014,,1.0,,4.0,,,9696,5,51.56765676567656
507,ANTIOQUIA,GÓMEZ PLATA,5310,2015,,2.0,9.0,1.0,2.0,,9693,14,144.4341277210358
508,ANTIOQUIA,GÓMEZ PLATA,5310,2016,,1.0,1.0,13.0,,,9662,15,155.2473607948665
509,ANTIOQUIA,GÓMEZ PLATA,5310,2017,,1.0,4.0,5.0,,,9676,10,103.34849111202976
510,ANTIOQUIA,GÓMEZ PLATA,5310,2018,,8.0,2.0,7.0,,,9753,17,174.30534194606787
511,ANTIOQUIA,GÓMEZ PLATA,5310,2019,,3.0,1.0,3.0,,,9828,7,71.22507122507123
512,ANTIOQUIA,GÓMEZ PLATA,5310,2020,,4.0,3.0,3.0,2.0,,9921,12,120.95554883580284
513,ANTIOQUIA,GÓMEZ PLATA,5310,2021,,3.0,5.0,6.0,2.0,,10075,16,158.80893300248138
514,ANTIOQUIA,GRANADA,5313,2012,,1.0,3.0,,1.0,,11770,5,42.48088360237893
515,ANTIOQUIA,GRANADA,5313,2013,,,1.0,,2.0,,11497,3,26.09376359050187
516,ANTIOQUIA,GRANADA,5313,2014,,,2.0,,1.0,,11225,3,26.726057906458795
517,ANTIOQUIA,GRANADA,5313,2015,,1.0,3.0,7.0,1.0,,10947,12,109.61907371882708
518,ANTIOQUIA,GRANADA,5313,2016,,3.0,,,1.0,,10654,4,37.54458419373005
519,ANTIOQUIA,GRANADA,5313,2017,,5.0,4.0,1.0,,,10397,10,96.18159084351255
520,ANTIOQUIA,GRANADA,5313,2018,,6.0,,3.0,2.0,1.0,10117,12,118.61223682909953
521,ANTIOQUIA,GRANADA,5313,2019,,7.0,,,2.0,,9870,9,91.1854103343465
522,ANTIOQUIA,GRANADA,5313,2020,1.0,6.0,,1.0,5.0,,9764,13,133.1421548545678
523,ANTIOQUIA,GRANADA,5313,2021,,6.0,2.0,2.0,1.0,,9915,11,110.94301563287948
524,ANTIOQUIA,GUADALUPE,5315,2012,1.0,,2.0,,,,6521,3,46.00521392424474
525,ANTIOQUIA,GUADALUPE,5315,2013,1.0,,4.0,,,,6526,5,76.61661048115232
526,ANTIOQUIA,GUADALUPE,5315,2014,3.0,,4.0,6.0,,,6480,13,200.6172839506173
527,ANTIOQUIA,GUADALUPE,5315,2015,1.0,3.0,,2.0,,,6494,6,92.39297813366184
528,ANTIOQUIA,GUADALUPE,5315,2016,,3.0,,2.0,1.0,,6464,6,92.82178217821782
529,ANTIOQUIA,GUADALUPE,5315,2017,,4.0,,6.0,,,6496,10,153.9408866995074
